Date,Avg_DP,day,month
1-Jan-20,24.5,1,1
2-Jan-20,33.3,2,1
3-Jan-20,30.3,3,1
4-Jan-20,25,4,1
5-Jan-20,25.3,5,1
6-Jan-20,20,6,1
7-Jan-20,22.2,7,1
8-Jan-20,6.8,8,1
9-Jan-20,30.4,9,1
10-Jan-20,41.9,10,1
11-Jan-20,30.5,11,1
12-Jan-20,24.4,12,1
13-Jan-20,27.9,13,1
14-Jan-20,31.7,14,1
15-Jan-20,31.4,15,1
16-Jan-20,10,16,1
17-Jan-20,17.9,17,1
18-Jan-20,24,18,1
19-Jan-20,2.5,19,1
20-Jan-20,15.5,20,1
21-Jan-20,16.3,21,1
22-Jan-20,19.6,22,1
23-Jan-20,29.3,23,1
24-Jan-20,35.6,24,1
25-Jan-20,32.4,25,1
26-Jan-20,27.6,26,1
27-Jan-20,27.6,27,1
28-Jan-20,25,28,1
29-Jan-20,25.3,29,1
30-Jan-20,23.5,30,1
31-Jan-20,28.7,31,1
1-Feb-20,30.9,1,2
2-Feb-20,31.8,2,2
3-Feb-20,31.8,3,2
4-Feb-20,25.6,4,2
5-Feb-20,21,5,2
6-Feb-20,23.9,6,2
7-Feb-20,16.8,7,2
8-Feb-20,21.7,8,2
9-Feb-20,27.8,9,2
10-Feb-20,24.6,10,2
11-Feb-20,20.9,11,2
12-Feb-20,26.4,12,2
13-Feb-20,13.7,13,2
14-Feb-20,-5.5,14,2
15-Feb-20,14.7,15,2
16-Feb-20,21.8,16,2
17-Feb-20,29.9,17,2
18-Feb-20,26.6,18,2
19-Feb-20,4.8,19,2
20-Feb-20,-2.6,20,2
21-Feb-20,8.7,21,2
22-Feb-20,20.9,22,2
23-Feb-20,28,23,2
24-Feb-20,30.2,24,2
25-Feb-20,31,25,2
26-Feb-20,23,26,2
27-Feb-20,13.4,27,2
28-Feb-20,6.8,28,2
29-Feb-20,9.2,29,2
1-Mar-20,32.9,1,3
2-Mar-20,30.6,2,3
3-Mar-20,28.4,3,3
4-Mar-20,26.5,4,3
5-Mar-20,26.8,5,3
6-Mar-20,23.1,6,3
7-Mar-20,21.9,7,3
8-Mar-20,25.3,8,3
9-Mar-20,46.4,9,3
10-Mar-20,34.7,10,3
11-Mar-20,31.7,11,3
12-Mar-20,37,12,3
13-Mar-20,20,13,3
14-Mar-20,24.8,14,3
15-Mar-20,25.1,15,3
16-Mar-20,33.6,16,3
17-Mar-20,24.9,17,3
18-Mar-20,37.1,18,3
19-Mar-20,48,19,3
20-Mar-20,36.3,20,3
21-Mar-20,17.7,21,3
22-Mar-20,28.1,22,3
23-Mar-20,32.9,23,3
24-Mar-20,33.2,24,3
25-Mar-20,39.8,25,3
26-Mar-20,42.2,26,3
27-Mar-20,43.1,27,3
28-Mar-20,50.2,28,3
29-Mar-20,39.5,29,3
30-Mar-20,33.3,30,3
31-Mar-20,34.3,31,3
1-Apr-20,36.3,1,4
2-Apr-20,33.1,2,4
3-Apr-20,39.5,3,4
4-Apr-20,39,4,4
5-Apr-20,28.4,5,4
6-Apr-20,42.1,6,4
7-Apr-20,58.3,7,4
8-Apr-20,50.1,8,4
9-Apr-20,24.9,9,4
10-Apr-20,23.9,10,4
11-Apr-20,32,11,4
12-Apr-20,49.2,12,4
13-Apr-20,27,13,4
14-Apr-20,17.7,14,4
15-Apr-20,20.9,15,4
16-Apr-20,14.9,16,4
17-Apr-20,31.7,17,4
18-Apr-20,31.4,18,4
19-Apr-20,32.5,19,4
20-Apr-20,33.2,20,4
21-Apr-20,18.5,21,4
22-Apr-20,31,22,4
23-Apr-20,43.5,23,4
24-Apr-20,40.1,24,4
25-Apr-20,40.7,25,4
26-Apr-20,31.6,26,4
27-Apr-20,41.1,27,4
28-Apr-20,57.1,28,4
29-Apr-20,52,29,4
30-Apr-20,39.4,30,4
1-May-20,36.1,1,5
2-May-20,47,2,5
3-May-20,36,3,5
4-May-20,34.1,4,5
5-May-20,36.5,5,5
6-May-20,26.3,6,5
7-May-20,33.3,7,5
8-May-20,25.3,8,5
9-May-20,22.3,9,5
10-May-20,38.5,10,5
11-May-20,33.2,11,5
12-May-20,28.9,12,5
13-May-20,31.6,13,5
14-May-20,59.5,14,5
15-May-20,59.7,15,5
16-May-20,48.5,16,5
17-May-20,60.6,17,5
18-May-20,55.7,18,5
19-May-20,54.1,19,5
20-May-20,49.8,20,5
21-May-20,51.2,21,5
22-May-20,56.2,22,5
23-May-20,61.3,23,5
24-May-20,64,24,5
25-May-20,64.3,25,5
26-May-20,64.9,26,5
27-May-20,65.8,27,5
28-May-20,65.3,28,5
29-May-20,54.3,29,5
30-May-20,47,30,5
31-May-20,40.3,31,5
1-Jun-20,44.2,1,6
2-Jun-20,60.4,2,6
3-Jun-20,60.5,3,6
4-Jun-20,64.4,4,6
5-Jun-20,64.8,5,6
6-Jun-20,52.5,6,6
7-Jun-20,52.8,7,6
8-Jun-20,50.9,8,6
9-Jun-20,67.3,9,6
10-Jun-20,65.4,10,6
11-Jun-20,49,11,6
12-Jun-20,49.3,12,6
13-Jun-20,45.8,13,6
14-Jun-20,43.2,14,6
15-Jun-20,43.4,15,6
16-Jun-20,54.1,16,6
17-Jun-20,53.2,17,6
18-Jun-20,52.4,18,6
19-Jun-20,57,19,6
20-Jun-20,62.2,20,6
21-Jun-20,64.8,21,6
22-Jun-20,66.3,22,6
23-Jun-20,54.2,23,6
24-Jun-20,53.8,24,6
25-Jun-20,54.8,25,6
26-Jun-20,66.3,26,6
27-Jun-20,68.8,27,6
28-Jun-20,68.4,28,6
29-Jun-20,69.4,29,6
30-Jun-20,69.7,30,6
1-Jul-20,64,1,7
2-Jul-20,61.8,2,7
3-Jul-20,60.3,3,7
4-Jul-20,66.3,4,7
5-Jul-20,62.9,5,7
6-Jul-20,62.4,6,7
7-Jul-20,66.1,7,7
8-Jul-20,67.2,8,7
9-Jul-20,68.4,9,7
10-Jul-20,66.8,10,7
11-Jul-20,62.5,11,7
12-Jul-20,62.4,12,7
13-Jul-20,59,13,7
14-Jul-20,58.9,14,7
15-Jul-20,66.2,15,7
16-Jul-20,65.3,16,7
17-Jul-20,65.7,17,7
18-Jul-20,73.5,18,7
19-Jul-20,69.9,19,7
20-Jul-20,61.2,20,7
21-Jul-20,65.3,21,7
22-Jul-20,67.8,22,7
23-Jul-20,60.6,23,7
24-Jul-20,65.2,24,7
25-Jul-20,65.5,25,7
26-Jul-20,71.1,26,7
27-Jul-20,68.8,27,7
28-Jul-20,60,28,7
29-Jul-20,64.3,29,7
30-Jul-20,61.3,30,7
31-Jul-20,59.8,31,7
1-Aug-20,62.2,1,8
2-Aug-20,63.7,2,8
3-Aug-20,59.9,3,8
4-Aug-20,49,4,8
5-Aug-20,50.7,5,8
6-Aug-20,53.9,6,8
7-Aug-20,56.4,7,8
8-Aug-20,61.5,8,8
9-Aug-20,68.3,9,8
10-Aug-20,70.4,10,8
11-Aug-20,57.9,11,8
12-Aug-20,58.6,12,8
13-Aug-20,60.8,13,8
14-Aug-20,60.3,14,8
15-Aug-20,65,15,8
16-Aug-20,54.6,16,8
17-Aug-20,54.5,17,8
18-Aug-20,53,18,8
19-Aug-20,52.4,19,8
20-Aug-20,52.7,20,8
21-Aug-20,56.6,21,8
22-Aug-20,59,22,8
23-Aug-20,62.5,23,8
24-Aug-20,66.6,24,8
25-Aug-20,64.7,25,8
26-Aug-20,67,26,8
27-Aug-20,70,27,8
28-Aug-20,70,28,8
29-Aug-20,54.9,29,8
30-Aug-20,55.4,30,8
31-Aug-20,57.7,31,8
