Day,Max,Avg,Min
1-Jan-20,43,38.9,36
2-Jan-20,48,44.6,43
3-Jan-20,50,41.2,34
4-Jan-20,41,38,36
5-Jan-20,43,40.8,39
6-Jan-20,46,40.3,36
7-Jan-20,52,46.6,41
8-Jan-20,52,48.5,46
9-Jan-20,52,47.9,41
10-Jan-20,41,37.3,36
11-Jan-20,45,43.4,37
12-Jan-20,48,43,37
13-Jan-20,48,43.5,41
14-Jan-20,54,47.7,43
15-Jan-20,50,43,39
16-Jan-20,50,44.2,41
17-Jan-20,50,41,34
18-Jan-20,36,34.6,34
19-Jan-20,36,33.7,30
20-Jan-20,34,33.9,32
21-Jan-20,37,35,32
22-Jan-20,45,42.1,37
23-Jan-20,45,42.9,41
24-Jan-20,43,41.6,41
25-Jan-20,43,39.3,36
26-Jan-20,46,44.5,43
27-Jan-20,45,42.4,39
28-Jan-20,39,34.4,32
29-Jan-20,43,36.3,32
30-Jan-20,52,47.5,43
31-Jan-20,50,47.9,45
1-Feb-20,48,41.2,34
2-Feb-20,52,45.2,39
3-Feb-20,45,41,34
4-Feb-20,41,36.1,32
5-Feb-20,37,35.7,34
6-Feb-20,39,37.1,34
7-Feb-20,46,38.7,34
8-Feb-20,48,41.9,36
9-Feb-20,52,45.5,39
10-Feb-20,41,35.6,30
11-Feb-20,32,29,25
12-Feb-20,41,33.2,30
13-Feb-20,43,40.3,39
14-Feb-20,48,41.3,36
15-Feb-20,52,49.9,48
16-Feb-20,54,45.3,34
17-Feb-20,41,36.9,34
18-Feb-20,43,37.7,34
19-Feb-20,45,38.8,32
20-Feb-20,46,40.6,30
21-Feb-20,41,37.8,32
22-Feb-20,48,42.5,39
23-Feb-20,52,42.9,32
24-Feb-20,50,43.7,32
25-Feb-20,39,35.8,32
26-Feb-20,34,31.4,30
27-Feb-20,36,32,28
28-Feb-20,50,40,30
29-Feb-20,48,38.4,28
1-Mar-20,37,33.2,28
2-Mar-20,41,35.1,28
3-Mar-20,37,35,32
4-Mar-20,41,37.6,32
5-Mar-20,41,40.1,37
6-Mar-20,37,33.2,28
7-Mar-20,46,40.8,34
8-Mar-20,46,42.4,39
9-Mar-20,50,39.4,36
10-Mar-20,54,50.9,48
11-Mar-20,48,45.4,43
12-Mar-20,43,33.9,28
13-Mar-20,39,36.3,34
14-Mar-20,48,43.8,39
15-Mar-20,46,44.1,41
16-Mar-20,41,36.3,32
17-Mar-20,46,42.5,36
18-Mar-20,48,46.8,46
19-Mar-20,46,43.3,39
20-Mar-20,39,36.3,32
21-Mar-20,37,32.9,21
22-Mar-20,36,33.8,32
23-Mar-20,36,31.1,27
24-Mar-20,32,29,23
25-Mar-20,36,28.7,18
26-Mar-20,34,29.6,23
27-Mar-20,36,31.7,28
28-Mar-20,37,33.7,28
29-Mar-20,34,26,19
30-Mar-20,39,33,23
31-Mar-20,36,33.3,28
1-Apr-20,34,30.4,28
2-Apr-20,41,37.3,32
3-Apr-20,43,35.5,32
4-Apr-20,43,37.3,30
5-Apr-20,39,36.4,28
6-Apr-20,52,42,34
7-Apr-20,46,40.5,37
8-Apr-20,48,45.1,43
9-Apr-20,48,44.9,41
10-Apr-20,48,45.8,43
11-Apr-20,48,46.1,45
12-Apr-20,50,44.1,39
13-Apr-20,48,33.6,28
14-Apr-20,34,30.7,28
15-Apr-20,41,36.6,34
16-Apr-20,46,42,37
17-Apr-20,45,42.6,39
18-Apr-20,46,44,41
19-Apr-20,45,39.3,34
20-Apr-20,39,37.1,32
21-Apr-20,41,37.8,34
22-Apr-20,43,38.9,34
23-Apr-20,45,41.7,36
24-Apr-20,45,41.4,39
25-Apr-20,45,41.7,39
26-Apr-20,46,40.8,39
27-Apr-20,46,42.3,37
28-Apr-20,46,45.2,43
29-Apr-20,50,44.8,39
30-Apr-20,46,43.4,39
1-May-20,45,42.5,39
2-May-20,43,39.1,36
3-May-20,48,42.7,36
4-May-20,46,44.2,41
5-May-20,45,39.2,34
6-May-20,46,39.3,34
7-May-20,46,44.2,41
8-May-20,50,44.5,39
9-May-20,50,45.2,39
10-May-20,52,43.5,30
11-May-20,34,29.7,27
12-May-20,36,31.6,28
13-May-20,39,32.6,25
14-May-20,37,33.4,28
15-May-20,41,36.2,30
16-May-20,45,37.6,34
17-May-20,43,40.7,37
18-May-20,46,41.1,36
19-May-20,54,49.7,43
20-May-20,54,50.6,45
21-May-20,55,50.4,41
22-May-20,52,44.9,34
23-May-20,48,41.4,36
24-May-20,48,45.8,43
25-May-20,50,46.7,41
26-May-20,54,46.3,41
27-May-20,52,49.7,46
28-May-20,50,44,36
29-May-20,50,43.9,36
30-May-20,52,44.7,37
31-May-20,52,44.4,37
1-Jun-20,52,47.1,43
2-Jun-20,54,45.2,39
3-Jun-20,55,50.5,45
4-Jun-20,50,43.9,37
5-Jun-20,50,41,34
6-Jun-20,48,41.6,36
7-Jun-20,52,47.2,43
8-Jun-20,46,44,41
9-Jun-20,48,41.9,37
10-Jun-20,52,49.7,46
11-Jun-20,55,52.5,50
12-Jun-20,59,55.7,54
13-Jun-20,57,52.6,46
14-Jun-20,57,52.9,50
15-Jun-20,55,52.1,48
16-Jun-20,57,53.5,48
17-Jun-20,59,54.3,52
18-Jun-20,59,55.4,52
19-Jun-20,55,52.3,48
20-Jun-20,52,51.5,50
21-Jun-20,59,51.2,45
22-Jun-20,52,48.1,45
23-Jun-20,59,52.7,48
24-Jun-20,61,55.9,52
25-Jun-20,59,56.8,52
26-Jun-20,66,59,55
27-Jun-20,59,55,50
28-Jun-20,54,48.4,43
29-Jun-20,46,45,43
30-Jun-20,59,53.2,45
1-Jul-20,57,54.4,52
2-Jul-20,59,53.8,48
3-Jul-20,57,51.8,48
4-Jul-20,61,58.4,55
5-Jul-20,59,49.6,41
6-Jul-20,46,45,39
7-Jul-20,57,46.9,41
8-Jul-20,63,59.5,57
9-Jul-20,61,59.4,57
10-Jul-20,57,48.7,41
11-Jul-20,50,45,41
12-Jul-20,50,45.8,41
13-Jul-20,57,46.8,34
14-Jul-20,59,53.4,48
15-Jul-20,55,50.6,46
16-Jul-20,57,55,54
17-Jul-20,59,55.3,52
18-Jul-20,55,53.5,50
19-Jul-20,57,53.3,46
20-Jul-20,55,45.5,41
21-Jul-20,50,43.8,39
22-Jul-20,50,46.8,45
23-Jul-20,57,49.1,41
24-Jul-20,59,56.1,52
25-Jul-20,63,59.7,57
26-Jul-20,57,54.4,50
27-Jul-20,63,58.1,54
28-Jul-20,54,47.4,43
29-Jul-20,52,46.4,45
30-Jul-20,57,47.3,41
31-Jul-20,63,56.6,50
1-Aug-20,63,55.6,52
2-Aug-20,54,49.6,45
3-Aug-20,55,47.9,41
4-Aug-20,54,49.4,41
5-Aug-20,59,51.3,39
6-Aug-20,64,61.3,54
7-Aug-20,61,55.7,46
8-Aug-20,63,60.1,57
9-Aug-20,64,61.7,59
10-Aug-20,64,63.3,61
11-Aug-20,66,63.9,59
12-Aug-20,66,64.7,63
13-Aug-20,66,63.8,63
14-Aug-20,64,62.6,61
15-Aug-20,66,64.5,63
16-Aug-20,66,63.9,61
17-Aug-20,61,59.1,55
18-Aug-20,61,58,57
19-Aug-20,66,63,59
20-Aug-20,66,56,46
21-Aug-20,61,56.1,54
22-Aug-20,55,53.4,50
23-Aug-20,55,52.9,48
24-Aug-20,61,54.7,52
25-Aug-20,63,57.7,54
26-Aug-20,54,51.5,50
27-Aug-20,59,53.9,50
28-Aug-20,57,53.5,50
29-Aug-20,52,49.9,48
30-Aug-20,50,47.1,41
31-Aug-20,48,44.5,39
,,,
,,,
,,,
,,,
,,,
,,,
