Date,Avg_DP,date,total_cases,New_Cases
1/28/2020,34.4,1/30/2020,0,0
1/29/2020,36.3,1/31/2020,0,0
1/30/2020,47.5,2/1/2020,0,0
1/31/2020,47.9,2/2/2020,0,0
2/1/2020,41.2,2/3/2020,0,0
2/2/2020,45.2,2/4/2020,0,0
2/3/2020,41,2/5/2020,0,0
2/4/2020,36.1,2/6/2020,0,0
2/5/2020,35.7,2/7/2020,0,0
2/6/2020,37.1,2/8/2020,0,0
2/7/2020,38.7,2/9/2020,0,0
2/8/2020,41.9,2/10/2020,0,0
2/9/2020,45.5,2/11/2020,1,1
2/10/2020,35.6,2/12/2020,1,0
2/11/2020,29,2/13/2020,1,0
2/12/2020,33.2,2/14/2020,1,0
2/13/2020,40.3,2/15/2020,1,0
2/14/2020,41.3,2/16/2020,1,0
2/15/2020,49.9,2/17/2020,1,0
2/16/2020,45.3,2/18/2020,1,0
2/17/2020,36.9,2/19/2020,1,0
2/18/2020,37.7,2/20/2020,1,0
2/19/2020,38.8,2/21/2020,1,0
2/20/2020,40.6,2/22/2020,1,0
2/21/2020,37.8,2/23/2020,1,0
2/22/2020,42.5,2/24/2020,2,1
2/23/2020,42.9,2/25/2020,5,3
2/24/2020,43.7,2/26/2020,7,2
2/25/2020,35.8,2/27/2020,9,2
2/26/2020,31.4,2/28/2020,12,3
2/27/2020,32,2/29/2020,13,1
2/28/2020,40,3/1/2020,17,4
2/29/2020,38.4,3/2/2020,29,12
3/1/2020,33.2,3/3/2020,35,6
3/2/2020,35.1,3/4/2020,53,18
3/3/2020,35,3/5/2020,67,14
3/4/2020,37.6,3/6/2020,90,23
3/5/2020,40.1,3/7/2020,104,14
3/6/2020,33.2,3/8/2020,126,22
3/7/2020,40.8,3/9/2020,179,53
3/8/2020,42.4,3/10/2020,270,91
3/9/2020,39.4,3/11/2020,453,183
3/10/2020,50.9,3/12/2020,618,165
3/11/2020,45.4,3/13/2020,754,136
3/12/2020,33.9,3/14/2020,903,149
3/13/2020,36.3,3/15/2020,1068,165
3/14/2020,43.8,3/16/2020,1302,234
3/15/2020,44.1,3/17/2020,1612,310
3/16/2020,36.3,3/18/2020,1968,356
3/17/2020,42.5,3/19/2020,2301,333
3/18/2020,46.8,3/20/2020,2727,426
3/19/2020,43.3,3/21/2020,3078,351
3/20/2020,36.3,3/22/2020,3515,437
3/21/2020,32.9,3/23/2020,4204,689
3/22/2020,33.8,3/24/2020,4841,637
3/23/2020,31.1,3/25/2020,5600,759
3/24/2020,29,3/26/2020,6367,767
3/25/2020,28.7,3/27/2020,7188,821
3/26/2020,29.6,3/28/2020,7765,577
3/27/2020,31.7,3/29/2020,8360,595
3/28/2020,33.7,3/30/2020,9230,870
3/29/2020,26,3/31/2020,10166,936
3/30/2020,33,4/1/2020,11145,979
3/31/2020,33.3,4/2/2020,12217,1072
4/1/2020,30.4,4/3/2020,13199,982
4/2/2020,37.3,4/4/2020,13965,766
4/3/2020,35.5,4/5/2020,14600,635
4/4/2020,37.3,4/6/2020,15460,860
4/5/2020,36.4,4/7/2020,16413,953
4/6/2020,42,4/8/2020,17287,874
4/7/2020,40.5,4/9/2020,18086,799
4/8/2020,45.1,4/10/2020,18700,614
4/9/2020,44.9,4/11/2020,19221,521
4/10/2020,45.8,4/12/2020,19722,501
4/11/2020,46.1,4/13/2020,20323,601
4/12/2020,44.1,4/14/2020,20927,604
4/13/2020,33.6,4/15/2020,21587,660
4/14/2020,30.7,4/16/2020,22163,576
4/15/2020,36.6,4/17/2020,22741,578
4/16/2020,42,4/18/2020,23143,402
4/17/2020,42.6,4/19/2020,23539,396
4/18/2020,44,4/20/2020,23973,434
4/19/2020,39.3,4/21/2020,24439,466
4/20/2020,37.1,4/22/2020,24835,396
4/21/2020,37.8,4/23/2020,25358,523
4/22/2020,38.9,4/24/2020,25736,378
4/23/2020,41.7,4/25/2020,26069,333
4/24/2020,41.4,4/26/2020,26379,310
4/25/2020,41.7,4/27/2020,26796,417
4/26/2020,40.8,4/28/2020,27107,311
4/27/2020,42.3,4/29/2020,27538,431
4/28/2020,45.2,4/30/2020,27963,425
4/29/2020,44.8,5/1/2020,28319,356
4/30/2020,43.4,5/2/2020,28568,249
5/1/2020,42.5,5/3/2020,28734,166
5/2/2020,39.1,5/4/2020,28980,246
5/3/2020,42.7,5/5/2020,29201,221
5/4/2020,44.2,5/6/2020,29470,269
5/5/2020,39.2,5/7/2020,29741,271
5/6/2020,39.3,5/8/2020,29948,207
5/7/2020,44.2,5/9/2020,30075,127
5/8/2020,44.5,5/10/2020,30199,124
5/9/2020,45.2,5/11/2020,30358,159
5/10/2020,43.5,5/12/2020,30553,195
5/11/2020,29.7,5/13/2020,30757,204
5/12/2020,31.6,5/14/2020,30914,157
5/13/2020,32.6,5/15/2020,31045,131
5/14/2020,33.4,5/16/2020,31119,74
5/15/2020,36.2,5/17/2020,31198,79
5/16/2020,37.6,5/18/2020,31310,112
5/17/2020,40.7,5/19/2020,31442,132
5/18/2020,41.1,5/20/2020,31586,144
5/19/2020,49.7,5/21/2020,31744,158
5/20/2020,50.6,5/22/2020,31829,85
5/21/2020,50.4,5/23/2020,31894,65
5/22/2020,44.9,5/24/2020,31945,51
5/23/2020,41.4,5/25/2020,32003,58
5/24/2020,45.8,5/26/2020,32069,66
5/25/2020,46.7,5/27/2020,32153,84
5/26/2020,46.3,5/28/2020,32227,74
5/27/2020,49.7,5/29/2020,32284,57
5/28/2020,44,5/30/2020,32323,39
5/29/2020,43.9,5/31/2020,32361,38
5/30/2020,44.7,6/1/2020,32410,49
5/31/2020,44.4,6/2/2020,32459,49
6/1/2020,47.1,6/3/2020,32538,79
6/2/2020,45.2,6/4/2020,32595,57
6/3/2020,50.5,6/5/2020,32642,47
6/4/2020,43.9,6/6/2020,32688,46
6/5/2020,41,6/7/2020,32733,45
6/6/2020,41.6,6/8/2020,32789,56
6/7/2020,47.2,6/9/2020,32860,71
6/8/2020,44,6/10/2020,32913,53
6/9/2020,41.9,6/11/2020,32960,47
6/10/2020,49.7,6/12/2020,33014,54
6/11/2020,52.5,6/13/2020,33053,39
6/12/2020,55.7,6/14/2020,33084,31
6/13/2020,52.6,6/15/2020,33125,41
6/14/2020,52.9,6/16/2020,33172,47
6/15/2020,52.1,6/17/2020,33215,43
6/16/2020,53.5,6/18/2020,33261,46
6/17/2020,54.3,6/19/2020,33298,37
6/18/2020,55.4,6/20/2020,33326,28
6/19/2020,52.3,6/21/2020,33353,27
6/20/2020,51.5,6/22/2020,33404,51
6/21/2020,51.2,6/23/2020,33453,49
6/22/2020,48.1,6/24/2020,33499,46
6/23/2020,52.7,6/25/2020,33556,57
6/24/2020,55.9,6/26/2020,33604,48
6/25/2020,56.8,6/27/2020,33636,32
6/26/2020,59,6/28/2020,33658,22
6/27/2020,55,6/29/2020,33716,58
6/28/2020,48.4,6/30/2020,33768,52
6/29/2020,45,7/1/2020,33810,42
6/30/2020,53.2,7/2/2020,33848,38
7/1/2020,54.4,7/3/2020,33886,38
7/2/2020,53.8,7/4/2020,33918,32
7/3/2020,51.8,7/5/2020,33969,51
7/4/2020,58.4,7/6/2020,34022,53
7/5/2020,49.6,7/7/2020,34081,59
7/6/2020,45,7/8/2020,34138,57
7/7/2020,46.9,7/9/2020,34192,54
7/8/2020,59.5,7/10/2020,34232,40
7/9/2020,59.4,7/11/2020,34251,19
7/10/2020,48.7,7/12/2020,34289,38
7/11/2020,45,7/13/2020,34374,85
7/12/2020,45.8,7/14/2020,34436,62
7/13/2020,46.8,7/15/2020,34512,76
7/14/2020,53.4,7/16/2020,34582,70
7/15/2020,50.6,7/17/2020,34630,48
7/16/2020,55,7/18/2020,34678,48
7/17/2020,55.3,7/19/2020,34719,41
7/18/2020,53.5,7/20/2020,34816,97
7/19/2020,53.3,7/21/2020,34898,82
7/20/2020,45.5,7/22/2020,34979,81
7/21/2020,43.8,7/23/2020,35050,71
7/22/2020,46.8,7/24/2020,35132,82
7/23/2020,49.1,7/25/2020,35186,54
7/24/2020,56.1,7/26/2020,35251,65
7/25/2020,59.7,7/27/2020,35351,100
7/26/2020,54.4,7/28/2020,35449,98
7/27/2020,58.1,7/29/2020,35547,98
7/28/2020,47.4,7/30/2020,35648,101
7/29/2020,46.4,7/31/2020,35721,73
7/30/2020,47.3,8/1/2020,35779,58
7/31/2020,56.6,8/2/2020,35852,73
8/1/2020,55.6,8/3/2020,35939,87
8/2/2020,49.6,8/4/2020,36042,103
8/3/2020,47.9,8/5/2020,36157,115
8/4/2020,49.4,8/6/2020,36262,105
8/5/2020,51.3,8/7/2020,36381,119
8/6/2020,61.3,8/8/2020,36436,55
8/7/2020,55.7,8/9/2020,36503,67
8/8/2020,60.1,8/10/2020,36645,142
8/9/2020,61.7,8/11/2020,36794,149
8/10/2020,63.3,8/12/2020,36944,150
8/11/2020,63.9,8/13/2020,37068,124
8/12/2020,64.7,8/14/2020,37195,127
8/13/2020,63.8,8/15/2020,37300,105
8/14/2020,62.6,8/16/2020,37387,87
8/15/2020,64.5,8/17/2020,37577,190
8/16/2020,63.9,8/18/2020,37758,181
8/17/2020,59.1,8/19/2020,37910,152
8/18/2020,58,8/20/2020,38113,203
8/19/2020,63,8/21/2020,38279,166
8/20/2020,56,8/22/2020,38396,117
8/21/2020,56.1,8/23/2020,38539,143
8/22/2020,53.4,8/24/2020,38734,195
8/23/2020,52.9,8/25/2020,38902,168
8/24/2020,54.7,8/26/2020,39067,165
8/25/2020,57.7,8/27/2020,39295,228
8/26/2020,51.5,8/28/2020,39509,214
8/27/2020,53.9,8/29/2020,39639,130
8/28/2020,53.5,8/30/2020,39767,128
8/29/2020,49.9,8/31/2020,39922,155
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
